page_id,page_name,disclaimer,amount_spent_eur,number_of_ads_in_library,fb_page,fbad_page,party
117483088313381,CIWF Nederland,CIWF Nederland,3655,5,https://www.facebook.com/117483088313381,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=117483088313381&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
243860895651424,Tearfund Nederland,Tearfund,3623,72,https://www.facebook.com/243860895651424,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=243860895651424&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
105339817717917,Gezin in Gevaar,Stichting Civitas Christiana,3555,12,https://www.facebook.com/105339817717917,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=105339817717917&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
106020448037192,JA21,JA21.nl,3433,31,https://www.facebook.com/106020448037192,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=106020448037192&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Ja21
115077391879906,"Ministerie van Onderwijs, Cultuur en Wetenschap","Ministerie van Onderwijs, Cultuur en Wetenschap",3418,12,https://www.facebook.com/115077391879906,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=115077391879906&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
208250375865238,Woord en Daad,Stichting Woord en Daad,3405,221,https://www.facebook.com/208250375865238,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=208250375865238&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
143686555666670,Trees for All,Trees for All,3285,31,https://www.facebook.com/143686555666670,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=143686555666670&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
134267673299598,NPO Radio 1,NPO Radio 1,3230,5,https://www.facebook.com/134267673299598,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=134267673299598&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
148404651881567,VNO-NCW,VNO-NCW,3136,80,https://www.facebook.com/148404651881567,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=148404651881567&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
403772503084759,Rijksdienst voor Ondernemend Nederland - RVO,Rijksdienst voor Ondernemend Nederland - RVO,3020,10,https://www.facebook.com/403772503084759,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=403772503084759&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
202064936858448,Geert Wilders,Geert Wilders,3012,2,https://www.facebook.com/202064936858448,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=202064936858448&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,PVV
119867424761918,Stadsdeel Centrum Amsterdam,Gemeente Amsterdam,3012,329,https://www.facebook.com/119867424761918,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=119867424761918&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
1550088745275913,DENK,DENK,2955,45,https://www.facebook.com/1550088745275913,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=1550088745275913&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,DENK
325306177501144,Amsterdam Stadsdeel Zuid,Gemeente Amsterdam,2872,108,https://www.facebook.com/325306177501144,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=325306177501144&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
